Date,Last Price
25/02/2020,27.85
24/02/2020,25.03
21/02/2020,17.08
20/02/2020,15.56
19/02/2020,14.38
18/02/2020,14.83
14/02/2020,13.68
13/02/2020,14.15
12/02/2020,13.74
11/02/2020,15.18
10/02/2020,15.04
07/02/2020,15.47
06/02/2020,14.96
05/02/2020,15.15
04/02/2020,16.05
03/02/2020,17.97
31/01/2020,18.84
30/01/2020,15.49
29/01/2020,16.39
28/01/2020,16.28
27/01/2020,18.23
24/01/2020,14.56
23/01/2020,12.98
22/01/2020,12.91
21/01/2020,12.85
17/01/2020,12.1
16/01/2020,12.32
15/01/2020,12.42
14/01/2020,12.39
13/01/2020,12.32
10/01/2020,12.56
09/01/2020,12.54
08/01/2020,13.45
07/01/2020,13.79
06/01/2020,13.85
03/01/2020,14.02
02/01/2020,12.47
31/12/2019,13.78
30/12/2019,14.82
27/12/2019,13.43
26/12/2019,12.65
24/12/2019,12.67
23/12/2019,12.61
20/12/2019,12.51
19/12/2019,12.5
18/12/2019,12.58
17/12/2019,12.29
16/12/2019,12.14
13/12/2019,12.63
12/12/2019,13.94
11/12/2019,14.99
10/12/2019,15.68
09/12/2019,15.86
06/12/2019,13.62
05/12/2019,14.52
04/12/2019,14.8
03/12/2019,15.96
02/12/2019,14.91
29/11/2019,12.62
27/11/2019,11.75
26/11/2019,11.54
25/11/2019,11.87
22/11/2019,12.34
21/11/2019,13.13
20/11/2019,12.78
19/11/2019,12.86
18/11/2019,12.46
15/11/2019,12.05
14/11/2019,13.05
13/11/2019,13
12/11/2019,12.68
11/11/2019,12.69
08/11/2019,12.07
07/11/2019,12.73
06/11/2019,12.62
05/11/2019,13.1
04/11/2019,12.83
01/11/2019,12.3
31/10/2019,13.22
30/10/2019,12.33
29/10/2019,13.2
28/10/2019,13.11
25/10/2019,12.65
24/10/2019,13.71
23/10/2019,14.01
22/10/2019,14.46
21/10/2019,14
18/10/2019,14.25
17/10/2019,13.79
16/10/2019,13.68
15/10/2019,13.54
14/10/2019,14.57
11/10/2019,15.58
10/10/2019,17.57
09/10/2019,18.64
08/10/2019,20.28
07/10/2019,17.86
04/10/2019,17.04
03/10/2019,19.12
02/10/2019,20.56
01/10/2019,18.56
30/09/2019,16.24
27/09/2019,17.22
26/09/2019,16.07
25/09/2019,15.96
24/09/2019,17.05
23/09/2019,14.91
20/09/2019,15.32
19/09/2019,14.05
18/09/2019,13.95
17/09/2019,14.44
16/09/2019,14.67
13/09/2019,13.74
12/09/2019,14.22
11/09/2019,14.61
10/09/2019,15.2
09/09/2019,15.27
06/09/2019,15
05/09/2019,16.27
04/09/2019,17.33
03/09/2019,19.66
30/08/2019,18.98
29/08/2019,17.88
28/08/2019,19.35
27/08/2019,20.31
26/08/2019,19.32
23/08/2019,19.87
22/08/2019,16.68
21/08/2019,15.8
20/08/2019,17.5
19/08/2019,16.88
16/08/2019,18.47
15/08/2019,21.18
14/08/2019,22.1
13/08/2019,17.52
12/08/2019,21.09
09/08/2019,17.97
08/08/2019,16.91
07/08/2019,19.49
06/08/2019,20.17
05/08/2019,24.59
02/08/2019,17.61
01/08/2019,17.87
31/07/2019,16.12
30/07/2019,13.94
29/07/2019,12.83
26/07/2019,12.16
25/07/2019,12.74
24/07/2019,12.07
23/07/2019,12.61
22/07/2019,13.53
19/07/2019,14.45
18/07/2019,13.53
17/07/2019,13.97
16/07/2019,12.86
15/07/2019,12.68
12/07/2019,12.39
11/07/2019,12.93
10/07/2019,13.03
09/07/2019,14.09
08/07/2019,13.96
05/07/2019,13.28
03/07/2019,12.57
02/07/2019,12.93
01/07/2019,14.06
28/06/2019,15.08
27/06/2019,15.82
26/06/2019,16.21
25/06/2019,16.28
24/06/2019,15.26
21/06/2019,15.4
20/06/2019,14.75
19/06/2019,14.33
18/06/2019,15.15
17/06/2019,15.35
14/06/2019,15.28
13/06/2019,15.82
12/06/2019,15.91
11/06/2019,15.99
10/06/2019,15.94
07/06/2019,16.3
06/06/2019,15.93
05/06/2019,16.09
04/06/2019,16.97
03/06/2019,18.86
31/05/2019,18.71
30/05/2019,17.3
29/05/2019,17.9
28/05/2019,17.5
24/05/2019,15.85
23/05/2019,16.92
22/05/2019,14.75
21/05/2019,14.95
20/05/2019,16.31
17/05/2019,15.96
16/05/2019,15.29
15/05/2019,16.44
14/05/2019,18.06
13/05/2019,20.55
10/05/2019,16.04
09/05/2019,19.1
08/05/2019,19.4
07/05/2019,19.32
06/05/2019,15.44
03/05/2019,12.87
02/05/2019,14.42
01/05/2019,14.8
30/04/2019,13.12
29/04/2019,13.11
26/04/2019,12.73
25/04/2019,13.25
24/04/2019,13.14
23/04/2019,12.28
22/04/2019,12.42
18/04/2019,12.09
17/04/2019,12.6
16/04/2019,12.18
15/04/2019,12.32
12/04/2019,12.01
11/04/2019,13.02
10/04/2019,13.3
09/04/2019,14.28
08/04/2019,13.18
05/04/2019,12.82
04/04/2019,13.58
03/04/2019,13.74
02/04/2019,13.36
01/04/2019,13.4
29/03/2019,13.71
28/03/2019,14.43
27/03/2019,15.15
26/03/2019,14.68
25/03/2019,16.33
22/03/2019,16.48
21/03/2019,13.63
20/03/2019,13.91
19/03/2019,13.56
18/03/2019,13.1
15/03/2019,12.88
14/03/2019,13.5
13/03/2019,13.41
12/03/2019,13.77
11/03/2019,14.33
08/03/2019,16.05
07/03/2019,16.59
06/03/2019,15.74
05/03/2019,14.74
04/03/2019,14.63
01/03/2019,13.57
28/02/2019,14.78
27/02/2019,14.7
26/02/2019,15.17
25/02/2019,14.85
22/02/2019,13.51
21/02/2019,14.46
20/02/2019,14.02
19/02/2019,14.88
15/02/2019,14.91
14/02/2019,16.22
13/02/2019,15.65
12/02/2019,15.43
11/02/2019,15.97
08/02/2019,15.72
07/02/2019,16.37
06/02/2019,15.38
05/02/2019,15.57
04/02/2019,15.73
01/02/2019,16.14
31/01/2019,16.57
30/01/2019,17.66
29/01/2019,19.13
28/01/2019,18.87
